08blocks,300.00,592.00,1.97,38.00,2.98,150.00,292.00,0.95,0.03,0.02,2.00
1138_bus,1138.00,2596.00,2.28,11.00,0.54,54.19,297.00,1.30,0.31,0.38,21.00
12month1,12471.00,2644297.00,212.04,4419.00,1.68,17.42,765.00,1.71,0.09,0.12,716.00
130bit,584.00,5400.00,9.25,15.00,0.29,24.33,48.00,0.63,0.07,0.15,24.00
144,144649.00,1219042.00,8.43,22.00,0.53,252.88,6692.00,1.57,0.25,0.45,572.00
145bit,1002.00,10343.00,10.32,16.00,0.25,38.54,108.00,0.86,0.04,0.16,26.00
162bit,3606.00,33923.00,9.41,15.00,0.26,138.69,335.00,0.86,0.01,0.18,26.00
176bit,7441.00,76441.00,10.27,17.00,0.24,240.03,728.00,1.06,0.01,0.19,31.00
192bit,13691.00,145454.00,10.62,17.00,0.23,472.10,1387.00,1.02,0.00,0.20,29.00
208bit,24430.00,284737.00,11.66,19.00,0.21,788.06,2530.00,1.13,0.00,0.20,31.00
2D_27628_bjtcai,27628.00,235351.00,8.52,85.00,0.29,36.94,90.00,0.74,0.75,0.24,748.00
2D_54019_highK,54019.00,526117.00,9.74,1426.00,0.68,39.49,61.00,0.30,0.90,0.20,1368.00
2cubes_sphere,101492.00,874378.00,8.62,24.00,0.43,7.08,1094.00,1.71,0.26,0.13,14329.00
333SP,3712815.00,14821448.00,3.99,10.00,0.36,131.17,235122.00,27.81,0.66,0.24,28306.00
3D_28984_Tetra,28984.00,317668.00,10.96,3817.00,2.72,133.57,204.00,0.34,0.67,0.37,217.00
3D_51448_3D,51448.00,558004.00,10.85,5671.00,2.63,284.24,541.00,0.63,0.67,0.36,181.00
3dtube,45330.00,1629474.00,35.95,2358.00,0.80,3.90,6.00,0.36,0.95,0.02,11632.00
3elt,4720.00,18442.00,3.91,8.00,0.14,7.71,22.00,0.50,0.21,0.12,612.00
3elt_dual,9000.00,22278.00,2.48,4.00,0.21,18.18,57.00,0.79,0.54,0.27,495.00
494_bus,494.00,1080.00,2.19,6.00,0.49,44.91,139.00,1.05,0.27,0.24,11.00
598a,110971.00,852905.00,7.69,19.00,0.55,157.41,6485.00,2.06,0.12,0.35,705.00
662_bus,662.00,1568.00,2.37,9.00,0.56,55.17,194.00,1.19,0.14,0.22,12.00
685_bus,685.00,1967.00,2.87,10.00,0.51,22.10,101.00,1.35,0.40,0.37,31.00
ABACUS_shell_ud,23412.00,120948.00,5.17,10.00,0.16,15.59,38.00,0.63,0.26,0.05,1502.00
AS365,3799275.00,15167351.00,3.99,11.00,0.44,131.13,385510.00,45.49,0.46,0.26,28974.00
